ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.0011968,0.00023916,0.0081753,-0.00027559,-0.00045079,25:06.1
0.00097776,0.00023235,0.0082233,-0.00019885,-0.00038333,25:06.1
0.00077302,0.00022337,0.0082671,-0.00012499,-0.00033085,25:06.1
0.00072482,0.00021342,0.0082734,-0.00010522,-0.00032008,25:06.1
0.00087859,0.00018408,0.0082502,-0.00013712,-0.00034595,25:06.1
0.0010759,0.00014972,0.0082231,-0.00020224,-0.00042295,25:06.1
0.0013596,0.00014559,0.0081908,-0.00029436,-0.00051879,25:06.1
0.0016879,0.00013224,0.0081654,-0.0003743,-0.00059547,25:06.1
0.0018041,9.76E-05,0.0081655,-0.00040347,-0.00061899,25:06.1
0.0017538,9.18E-05,0.0081784,-0.00039631,-0.00058982,25:06.1
0.0016261,6.36E-05,0.0082011,-0.00034843,-0.00055437,25:06.1
0.0013996,1.51E-05,0.0082486,-0.00026071,-0.00048947,25:06.1
0.0012218,7.94E-06,0.0082925,-0.00020101,-0.00042354,25:06.1
0.0012091,-3.15E-06,0.0082989,-0.00019748,-0.00042792,25:06.1
0.0013346,-1.19E-05,0.0082804,-0.00024715,-0.00048278,25:06.1
0.0015771,-1.01E-05,0.0082467,-0.00034284,-0.00057688,25:06.1
0.0018916,-3.33E-05,0.0082015,-0.00043421,-0.0006865,25:06.1
0.0021672,-5.22E-05,0.0081604,-0.00051537,-0.00077337,25:06.1
0.0023042,-6.36E-05,0.0081341,-0.00057347,-0.0008331,25:06.1
0.002249,-7.39E-05,0.0081301,-0.00055945,-0.00083365,25:06.1
0.0020599,-7.47E-05,0.0081441,-0.00050253,-0.00077892,25:06.1
0.0018613,-8.27E-05,0.0081617,-0.00043988,-0.00071136,25:06.1
0.0016891,-0.00010119,0.0081702,-0.00038045,-0.00064647,25:06.1
0.0016214,-0.00011237,0.0081664,-0.00036416,-0.00063558,25:06.1
0.0017611,-0.00010766,0.0081438,-0.00041485,-0.00069484,25:06.1
0.0020239,-0.00010868,0.0080961,-0.00050103,-0.00076646,25:06.1
0.0023057,-0.00012214,0.0080406,-0.00059564,-0.00086178,25:06.1
0.0025704,-0.00012858,0.0079917,-0.00068951,-0.00096933,25:06.1
0.0026995,-0.00012894,0.0079698,-0.00072959,-0.0010087,25:06.1
0.0026233,-0.00012744,0.0079925,-0.00070164,-0.00098457,25:06.1
0.0024404,-0.00012207,0.0080329,-0.00064711,-0.00092719,25:06.1
0.0022121,-0.00012037,0.0080753,-0.00056826,-0.00084341,25:06.1
0.001973,-0.00011808,0.0081198,-0.00050138,-0.000768,25:06.1
0.0018987,-0.00011287,0.008143,-0.00049502,-0.00075092,25:06.1
0.0020218,-0.00011279,0.0081458,-0.00052804,-0.00079291,25:06.1
0.0021884,-0.00010828,0.0081443,-0.00058833,-0.00085111,25:06.1
0.0024113,-0.00010233,0.0081267,-0.00067646,-0.00094407,25:06.1
0.0026486,-9.31E-05,0.0081164,-0.00074857,-0.0010395,25:06.1
0.0027014,-7.36E-05,0.0081429,-0.00076316,-0.0010501,25:06.1
0.00257,-7.15E-05,0.0081855,-0.00072601,-0.0010035,25:06.1
0.0023448,-7.52E-05,0.0082534,-0.00065138,-0.00092247,25:06.1
0.0020405,-6.80E-05,0.0083456,-0.00055163,-0.00081291,25:06.1
0.0017554,-6.93E-05,0.008421,-0.00046718,-0.00072774,25:06.1
0.001631,-6.33E-05,0.0084705,-0.00043294,-0.0006857,25:06.1
0.0016633,-4.82E-05,0.0085023,-0.00044999,-0.00069825,25:06.1
0.0017931,-3.78E-05,0.0085224,-0.00050086,-0.00075465,25:06.1
0.0019874,-2.34E-05,0.0085314,-0.00055683,-0.00081195,25:06.1
0.0021334,-1.25E-05,0.0085438,-0.00060014,-0.00085517,25:06.1
0.0021325,-1.05E-05,0.0085811,-0.00060496,-0.00085715,25:06.2
0.0019363,-1.52E-05,0.0086459,-0.00054337,-0.00078657,25:06.2
0.0016015,-2.22E-05,0.0087315,-0.00044474,-0.00067873,25:06.2
0.0012724,-2.37E-05,0.0088186,-0.00033357,-0.00056446,25:06.2
0.00095369,-1.74E-05,0.0088882,-0.00022148,-0.00044713,25:06.2
0.00072548,8.49E-07,0.0089245,-0.00016432,-0.00038298,25:06.2
0.00069903,2.06E-05,0.0089393,-0.00017167,-0.00038338,25:06.2
0.00077468,3.05E-05,0.0089435,-0.00019795,-0.00039775,25:06.2
0.00087778,3.85E-05,0.0089209,-0.00023452,-0.0004334,25:06.2
0.0009571,4.73E-05,0.0088998,-0.00026791,-0.00046951,25:06.2
0.0009112,5.49E-05,0.0089009,-0.0002441,-0.00043966,25:06.2
0.00067643,6.32E-05,0.0089093,-0.00015971,-0.0003551,25:06.2
0.00030968,7.09E-05,0.00892,-4.59E-05,-0.00023676,25:06.2
-8.06E-05,8.04E-05,0.0089237,9.04E-05,-8.55E-05,25:06.2
-0.0004636,9.80E-05,0.0089142,0.00020422,3.56E-05,25:06.2
-0.00069536,0.00011825,0.0088722,0.00025843,9.59E-05,25:06.2
-0.0007095,0.00013672,0.0087922,0.00027482,0.00012825,25:06.2
-0.00068374,0.00014796,0.0086926,0.00026469,0.00012728,25:06.2
-0.00061803,0.00015261,0.0085814,0.00022862,9.33E-05,25:06.2
-0.0005292,0.00017107,0.0084718,0.0002082,7.63E-05,25:06.2
-0.00062373,0.00019056,0.0083859,0.00024881,0.00011109,25:06.2
-0.00089143,0.00020435,0.008338,0.00033338,0.00020066,25:06.2
-0.0012489,0.00022769,0.0083137,0.00044802,0.00033192,25:06.2
-0.0016765,0.00024603,0.0082882,0.00059099,0.00047699,25:06.2
-0.0020618,0.00026916,0.0082502,0.00071519,0.00061191,25:06.2
-0.0023043,0.0002834,0.0081984,0.00079042,0.00069983,25:06.2
-0.0023948,0.00028088,0.008117,0.00081598,0.00071877,25:06.2
-0.0023802,0.0003094,0.0080081,0.0008093,0.00071232,25:06.2
-0.0023183,0.0003309,0.0079189,0.00080579,0.00072131,25:06.2
-0.002299,0.00034054,0.0078386,0.0008094,0.00074233,25:06.2
-0.0024066,0.00038958,0.0077611,0.00083892,0.00079096,25:06.2
-0.0026963,0.00042599,0.0077232,0.00093575,0.00090164,25:06.2
-0.0031112,0.00043595,0.0076979,0.0010639,0.0010495,25:06.2
-0.003482,0.00045154,0.0076625,0.0011848,0.0011967,25:06.2
-0.0038266,0.00046607,0.0076156,0.0013056,0.0013342,25:06.2
-0.0041052,0.00047981,0.0075521,0.0013714,0.0014265,25:06.2
-0.0041624,0.00049423,0.0074562,0.0013616,0.0014629,25:06.2
-0.0041016,0.00051592,0.0073221,0.0013407,0.0014677,25:06.2
-0.0040267,0.00053406,0.0071973,0.0013089,0.0014421,25:06.2
-0.0039536,0.00054198,0.0070847,0.0012669,0.0014142,25:06.2
-0.0039861,0.00055136,0.0069943,0.0012775,0.0014444,25:06.2
-0.0041939,0.00055683,0.0069665,0.0013414,0.0015253,25:06.2
-0.0044959,0.00056434,0.0069526,0.0014261,0.0016228,25:06.2
-0.0048103,0.00057079,0.0069394,0.0015203,0.0017469,25:06.2
-0.0051072,0.00056215,0.0069349,0.0015856,0.0018447,25:06.2
-0.0052402,0.00054531,0.0068824,0.0016046,0.0018653,25:06.2
-0.0051815,0.00053146,0.0068007,0.0015861,0.001848,25:06.2
-0.0050384,0.00051907,0.0067139,0.001527,0.0018018,25:06.2
-0.0048347,0.00050389,0.00662,0.0014463,0.001726,25:06.2
-0.0046624,0.00050117,0.0065475,0.0013788,0.0016611,25:06.2
-0.0046259,0.00050693,0.0064637,0.0013594,0.0016382,25:06.3
-0.0047176,0.00050344,0.0063933,0.0013871,0.001666,25:06.3
-0.0048791,0.00049672,0.0063821,0.0014384,0.0017318,25:06.3
-0.0050678,0.00048645,0.0063662,0.0014966,0.0017933,25:06.3
-0.0051886,0.00046939,0.0063413,0.0015234,0.0018135,25:06.3
-0.0051331,0.0004488,0.0063101,0.0015028,0.0017825,25:06.3
-0.0049485,0.00043237,0.0062331,0.0014237,0.0016876,25:06.3
-0.0046382,0.0004258,0.0061607,0.0012967,0.0015592,25:06.3
-0.0042007,0.00042229,0.0061222,0.0011762,0.0014204,25:06.3
-0.0038027,0.00041013,0.0060758,0.0010528,0.0012699,25:06.3
-0.0035967,0.00039011,0.0060472,0.00096204,0.0011896,25:06.3
-0.0036597,0.00038669,0.0060858,0.00098316,0.0012229,25:06.3
-0.0038775,0.0003924,0.006154,0.0010506,0.0012871,25:06.3
-0.0040537,0.00039667,0.0062091,0.0011025,0.0013262,25:06.3
-0.0041718,0.00041255,0.0062522,0.0011477,0.0013706,25:06.3
-0.0041655,0.00040814,0.0062644,0.0011264,0.0013653,25:06.3
-0.0039384,0.00039276,0.0062379,0.0010296,0.0012587,25:06.3
-0.0036048,0.0004036,0.0061951,0.00093226,0.0011603,25:06.3
-0.0032443,0.00040813,0.00614,0.00082022,0.0010596,25:06.3
-0.0028748,0.00039593,0.0060758,0.00069403,0.00090753,25:06.3
-0.002651,0.00038758,0.0060342,0.00062911,0.00080572,25:06.3
-0.0026097,0.00038349,0.006011,0.00061633,0.00077636,25:06.3
-0.0026128,0.0003758,0.0059643,0.00061811,0.00077236,25:06.3
-0.0026422,0.00036711,0.0059146,0.00063435,0.00078019,25:06.3
-0.0026737,0.00037082,0.0058714,0.00063977,0.00078982,25:06.3
-0.0025676,0.00037354,0.0057974,0.0006028,0.00075474,25:06.3
-0.0023334,0.00036241,0.0056829,0.00052585,0.00066247,25:06.3
-0.0020473,0.00034718,0.0055202,0.00042856,0.00057344,25:06.3
-0.0017244,0.00034022,0.0053399,0.00031817,0.00048313,25:06.3
-0.0014695,0.00033847,0.0051476,0.00022418,0.00039698,25:06.3
-0.0013691,0.00031817,0.0049397,0.00018931,0.00036492,25:06.3
-0.0013755,0.00029293,0.0047535,0.0001969,0.00037386,25:06.3
-0.0014241,0.00027909,0.0045544,0.00021408,0.00038978,25:06.3
-0.0015057,0.00025227,0.0043296,0.00023248,0.00036929,25:06.3
-0.0014933,0.0002314,0.0040714,0.00022103,0.0003173,25:06.3
-0.0012733,0.0002331,0.0037635,0.00015085,0.00026077,25:06.3
-0.00097269,0.00021709,0.0034132,2.54E-05,0.00014661,25:06.3
-0.00058433,0.00019768,0.0030243,-0.00013115,-6.92E-06,25:06.3
-0.00011976,0.00018619,0.0026631,-0.00026899,-0.00015944,25:06.3
0.00023016,0.00014468,0.0023175,-0.00035589,-0.00033325,25:06.3
0.00044889,0.0001073,0.0019693,-0.0003882,-0.00043573,25:06.3
0.00050599,6.25E-05,0.0016462,-0.00036499,-0.00045666,25:06.3
0.00041146,-8.04E-06,0.0013244,-0.00030754,-0.00048757,25:06.3
0.00029273,-2.85E-05,0.00097104,-0.00024087,-0.00047897,25:06.3
0.00015111,-5.32E-05,0.0005438,-0.00016308,-0.00044519,25:06.3
4.26E-05,-9.06E-05,0.0001702,-9.03E-05,-0.00044138,25:06.3
0.00010236,-3.44E-05,-7.05E-05,-7.02E-05,-0.00045587,25:06.3
0.00025108,6.05E-05,-0.0004081,-8.63E-05,-0.00049906,25:06.3
0.00032777,0.00014573,-0.0008744,-9.16E-05,-0.00052219,25:06.3
0.0003541,0.00023196,-0.0013378,-9.31E-05,-0.00045619,25:06.3
0.00021426,0.0003392,-0.0019689,-5.46E-05,-0.00026916,25:06.4
-0.00018658,0.00049558,-0.0026861,4.90E-05,-2.10E-05,25:06.4
-0.00058458,0.00065235,-0.003294,0.00014634,0.00022705,25:06.4
-0.00093836,0.00081041,-0.0039391,0.00018865,0.00049633,25:06.4
-0.0012777,0.00097608,-0.0044283,0.00013135,0.00071269,25:06.4
-0.001399,0.001164,-0.0047938,-4.14E-05,0.00088507,25:06.4
-0.0013403,0.0013525,-0.0052587,-0.00026944,0.001048,25:06.4
-0.0011893,0.0014037,-0.0055389,-0.00054497,0.0010825,25:06.4
-0.00095946,0.0014156,-0.005731,-0.00082105,0.0010414,25:06.4
-0.00082901,0.0014436,-0.0058799,-0.00097996,0.0010197,25:06.4
-0.00089843,0.0012875,-0.0059418,-0.0010331,0.00099236,25:06.4
-0.0011331,0.0010358,-0.0062522,-0.0010548,0.0009972,25:06.4
-0.0014834,0.0008148,-0.0065643,-0.0010425,0.0010324,25:06.4
-0.0018541,0.0005249,-0.0068262,-0.00094877,0.0010394,25:06.4
-0.0022201,0.00018555,-0.007298,-0.000808,0.0010308,25:06.4
-0.002574,-0.00013982,-0.0076621,-0.00069947,0.0010277,25:06.4
-0.0028108,-0.00038422,-0.0081422,-0.00060462,0.00098638,25:06.4
-0.0028798,-0.00047095,-0.0088251,-0.00053289,0.00088853,25:06.4
-0.002863,-0.0005103,-0.0089326,-0.00048779,0.00078847,25:06.4
-0.0028911,-0.00057662,-0.0086663,-0.00040398,0.00074207,25:06.4
-0.0030075,-0.00058113,-0.0086017,-0.00028902,0.00076997,25:06.4
-0.003248,-0.00055077,-0.0084646,-0.00012276,0.00084587,25:06.4
-0.0036015,-0.00055615,-0.0082484,8.46E-05,0.00093007,25:06.4
-0.0038939,-0.0005796,-0.0081529,0.00024982,0.0010042,25:06.4
-0.004108,-0.0006014,-0.0080726,0.00037966,0.0010744,25:06.4
-0.0042312,-0.00059179,-0.0080328,0.00046294,0.0011309,25:06.4
-0.0041295,-0.00056869,-0.0080403,0.00048864,0.0011215,25:06.4
-0.0039211,-0.00056776,-0.0080721,0.00049496,0.0010631,25:06.4
-0.0037532,-0.00056738,-0.0081572,0.00048106,0.0010153,25:06.4
-0.0036533,-0.00057879,-0.0082832,0.00047767,0.00098047,25:06.4
-0.0036967,-0.00060197,-0.0085309,0.00051244,0.00098319,25:06.4
-0.0038935,-0.00060732,-0.0087078,0.00057714,0.0010453,25:06.4
-0.0041189,-0.0006233,-0.0087694,0.00066523,0.0011207,25:06.4
-0.0042271,-0.00064985,-0.0090202,0.00071993,0.0011704,25:06.4
-0.0041826,-0.00064394,-0.0092407,0.0006998,0.0011662,25:06.4
-0.0040449,-0.00064107,-0.009423,0.00065138,0.0011132,25:06.4
-0.0038822,-0.00067196,-0.0097632,0.00061729,0.0010673,25:06.4
-0.0036615,-0.00068014,-0.0099355,0.00055437,0.00099949,25:06.4
-0.0033928,-0.00065556,-0.010012,0.00046181,0.00089477,25:06.4
-0.0032476,-0.00064821,-0.010219,0.00042999,0.00084785,25:06.4
-0.003249,-0.00065048,-0.010424,0.00044909,0.00086376,25:06.4
-0.0033195,-0.00062778,-0.010631,0.00047948,0.00090672,25:06.4
-0.0034703,-0.00060091,-0.010861,0.00054124,0.0009758,25:06.4
-0.0036469,-0.00058857,-0.011062,0.0005835,0.001021,25:06.4
-0.0036822,-0.000562,-0.011191,0.00057948,0.0010276,25:06.4
-0.0035294,-0.00051984,-0.011282,0.00055039,0.00099879,25:06.4
-0.0033088,-0.0004745,-0.01145,0.00046815,0.00091754,25:06.4
-0.0030123,-0.00043454,-0.011645,0.00035682,0.00081672,25:06.4
-0.0026803,-0.00042044,-0.0118,0.0002668,0.00073309,25:06.4
-0.0024828,-0.00039985,-0.012006,0.00020136,0.00067879,25:06.4
-0.0024298,-0.00036477,-0.012203,0.00018505,0.00067008,25:06.5
-0.0025423,-0.00034802,-0.012355,0.00023089,0.0007205,25:06.5
-0.0027895,-0.0003331,-0.012578,0.00030697,0.00080686,25:06.5
-0.0030238,-0.00031999,-0.012851,0.00039325,0.00089496,25:06.5
-0.0031961,-0.00031041,-0.013187,0.0004677,0.0009674,25:06.5
-0.0032256,-0.0002935,-0.013566,0.00047596,0.0009724,25:06.5
-0.0030574,-0.000277,-0.013795,0.00041506,0.00090082,25:06.5
-0.0028003,-0.00025339,-0.013943,0.00034354,0.00081988,25:06.5
-0.0025481,-0.00023069,-0.014213,0.00026702,0.00074646,25:06.5
-0.0023391,-0.00022078,-0.014443,0.00019265,0.00068285,25:06.5
-0.002255,-0.00021263,-0.014491,0.00017183,0.00067847,25:06.5
-0.0023271,-0.00020573,-0.01452,0.0002007,0.00072327,25:06.5
-0.0024345,-0.00020566,-0.014548,0.00024267,0.00076325,25:06.5
-0.002497,-0.00020283,-0.014545,0.00027254,0.00080394,25:06.5
-0.0024929,-0.00018572,-0.014529,0.00026622,0.00079956,25:06.5
-0.0023278,-0.00016706,-0.014486,0.00021497,0.00071487,25:06.5
-0.0020261,-0.00016833,-0.014455,0.00012679,0.00063628,25:06.5
-0.0016834,-0.00017557,-0.014329,1.62E-05,0.0005309,25:06.5
-0.0013446,-0.00016566,-0.014101,-8.17E-05,0.00038222,25:06.5
-0.0011352,-0.00015593,-0.013802,-0.00013308,0.00032479,25:06.5
-0.0011002,-0.00015493,-0.013358,-0.00014533,0.00034842,25:06.5
-0.0011637,-0.00015995,-0.012946,-0.00011223,0.00040245,25:06.5
-0.0012943,-0.00016898,-0.012564,-4.33E-05,0.00047739,25:06.5
-0.0014355,-0.00015914,-0.012071,1.05E-06,0.00052119,25:06.5
-0.0014572,-0.00014564,-0.011596,9.16E-06,0.00053474,25:06.5
-0.0013205,-0.00013851,-0.011182,-9.74E-06,0.00051673,25:06.5
-0.0011213,-0.00012633,-0.010809,-6.92E-05,0.00045852,25:06.5
-0.00085461,-0.00012501,-0.010482,-0.00015093,0.00037272,25:06.5
-0.00056225,-0.00011712,-0.010142,-0.00021813,0.00030047,25:06.5
-0.0004079,-0.00010073,-0.0098044,-0.00025521,0.00028548,25:06.5
-0.00037628,-0.00010179,-0.0095156,-0.00025586,0.00029883,25:06.5
-0.00046327,-0.00010351,-0.0092111,-0.00020477,0.00035375,25:06.5
-0.0006688,-0.00010036,-0.0088754,-0.00012775,0.00044765,25:06.5
-0.00080838,-9.01E-05,-0.0085665,-7.43E-05,0.00050981,25:06.5
-0.00083101,-6.41E-05,-0.0082762,-4.89E-05,0.00053694,25:06.5
-0.00077678,-4.44E-05,-0.0080052,-6.65E-05,0.00052297,25:06.5
-0.00057793,-3.72E-05,-0.0077671,-0.00013683,0.00045804,25:06.5
-0.00029284,-2.69E-05,-0.0075691,-0.00020859,0.00038514,25:06.5
-6.00E-05,-5.81E-06,-0.0073713,-0.00026279,0.00033152,25:06.5
9.63E-05,1.89E-05,-0.0071317,-0.00030096,0.00030128,25:06.5
0.0001055,3.89E-05,-0.0068817,-0.00028251,0.00031123,25:06.5
-4.72E-05,6.06E-05,-0.0066347,-0.00022073,0.0003645,25:06.5
-0.00020853,6.78E-05,-0.0063845,-0.00015845,0.00043367,25:06.5
-0.00033962,6.41E-05,-0.0061339,-9.13E-05,0.00050104,25:06.5
-0.00040907,8.37E-05,-0.005924,-6.57E-05,0.00052755,25:06.5
-0.00031034,0.00010618,-0.0057532,-0.00011109,0.00049229,25:06.5
-8.68E-05,0.0001168,-0.0055636,-0.00016144,0.00042925,25:06.5
0.00018578,0.0001291,-0.0053826,-0.00022389,0.00033781,25:06.5
0.00044358,0.00013281,-0.0052279,-0.00030598,0.00024319,25:06.5
0.0005781,0.00014067,-0.005066,-0.00033003,0.00020064,25:06.5
0.00056071,0.00014658,-0.0048801,-0.00030073,0.00019972,25:06.6
0.00044648,0.0001406,-0.0046854,-0.00023938,0.00022813,25:06.6
0.0002711,0.00016057,-0.0045185,-0.00014843,0.00028761,25:06.6
0.00010181,0.00018226,-0.004348,-8.42E-05,0.00033423,25:06.6
7.42E-05,0.00018255,-0.0041723,-5.96E-05,0.0003274,25:06.6
0.00018492,0.00019281,-0.0040445,-7.30E-05,0.00027876,25:06.6
0.0003951,0.00019774,-0.0039148,-0.00012482,0.00019903,25:06.6
0.00070618,0.00019861,-0.003777,-0.00018166,8.93E-05,25:06.6
0.00095016,0.00020475,-0.0036466,-0.00022886,-2.33E-05,25:06.6
0.0010481,0.00019492,-0.0034672,-0.00024396,-9.81E-05,25:06.6
0.0010579,0.00019015,-0.0032745,-0.0002175,-0.00010566,25:06.6
0.00095178,0.0001979,-0.0030478,-0.00016029,-5.83E-05,25:06.6
0.00076168,0.00018742,-0.0027531,-8.61E-05,2.83E-06,25:06.6
0.00062343,0.00016767,-0.0025086,-2.93E-05,4.63E-05,25:06.6
0.00061787,0.00016656,-0.0023131,-9.88E-06,4.68E-05,25:06.6
0.00071739,0.00017071,-0.0020689,-4.71E-05,-1.64E-05,25:06.6
0.00093553,0.00016384,-0.0018331,-0.00012435,-0.00012411,25:06.6
0.0012422,0.00015412,-0.0016695,-0.00020575,-0.0002346,25:06.6
0.0014918,0.00014553,-0.0015129,-0.0002934,-0.00033094,25:06.6
0.0016376,0.00014488,-0.0013274,-0.00034773,-0.00039174,25:06.6
0.0016289,0.000142,-0.0011192,-0.00033916,-0.00039928,25:06.6
0.0014691,0.00012764,-0.00089319,-0.00029935,-0.00036941,25:06.6
0.0013044,0.00011649,-0.00066317,-0.0002473,-0.00032208,25:06.6
0.0011662,0.00010358,-0.00043832,-0.00019977,-0.00028315,25:06.6
0.0011063,8.46E-05,-0.0002553,-0.00019905,-0.00029216,25:06.6
0.0012262,6.58E-05,-7.98E-05,-0.00025076,-0.00035915,25:06.6
0.0014729,4.85E-05,0.00013825,-0.00031367,-0.00044613,25:06.6
0.0017636,3.57E-05,0.00036007,-0.00040144,-0.00053926,25:06.6
0.0020264,2.86E-05,0.00060561,-0.00050232,-0.00064738,25:06.6
0.0021648,1.23E-05,0.00091461,-0.00053561,-0.00071178,25:06.6
0.0021437,-2.80E-05,0.0012358,-0.00051162,-0.00071029,25:06.6
0.0020275,-5.96E-05,0.0015404,-0.00046654,-0.00070409,25:06.6
0.0018663,-7.89E-05,0.001821,-0.00039672,-0.00067684,25:06.6
0.0017104,-0.0001129,0.0020444,-0.00034205,-0.00063382,25:06.6
0.0017219,-0.00013284,0.0022497,-0.00033404,-0.00065305,25:06.6
0.0019106,-0.0001437,0.0024469,-0.00036878,-0.00072342,25:06.6
0.0021826,-0.00016211,0.0026122,-0.00044545,-0.00082632,25:06.6
0.0025381,-0.00017385,0.0027913,-0.00054243,-0.00095145,25:06.6
0.0028292,-0.00019742,0.0029609,-0.00061856,-0.0010566,25:06.6
0.0029455,-0.00022061,0.0031107,-0.00064642,-0.0011288,25:06.6
0.0029524,-0.00023449,0.0032726,-0.00063179,-0.0011375,25:06.6
0.0028567,-0.00025523,0.0034101,-0.00058786,-0.0010928,25:06.6
0.0026831,-0.00026399,0.003542,-0.00052277,-0.0010467,25:06.6
0.0025634,-0.00027786,0.003664,-0.00047616,-0.0010073,25:06.6
0.0025953,-0.00029895,0.0037353,-0.00047522,-0.0010089,25:06.6
0.002739,-0.00031017,0.0037806,-0.00051851,-0.0010725,25:06.6
0.0029875,-0.00033691,0.0037417,-0.00059895,-0.0011618,25:06.6
0.0033211,-0.00034829,0.0036335,-0.00068802,-0.0012656,25:06.6
0.003576,-0.00034588,0.0035725,-0.00076804,-0.0013611,25:06.6
0.0036876,-0.00036866,0.0035659,-0.00079866,-0.0013932,25:06.6
0.003633,-0.00037773,0.0036393,-0.00075702,-0.0013666,25:06.7
0.0034306,-0.00038881,0.0037678,-0.00070111,-0.001321,25:06.7
0.003241,-0.00041825,0.0038857,-0.00063802,-0.0012547,25:06.7
0.0031016,-0.00042027,0.0039829,-0.0005655,-0.0011874,25:06.7
0.0030455,-0.0004138,0.0040112,-0.00055448,-0.0011831,25:06.7
0.0031698,-0.00041971,0.0040099,-0.00060615,-0.0012378,25:06.7
0.0034063,-0.00042741,0.003995,-0.00066697,-0.0013034,25:06.7
0.0036689,-0.00043214,0.0039183,-0.00074671,-0.0013932,25:06.7
0.0039065,-0.00043896,0.0038421,-0.00083141,-0.0014928,25:06.7
0.0040151,-0.00045621,0.0038104,-0.00085267,-0.0015284,25:06.7
